mean rating: 1343.33
total number of ratings in train: 6
total number of ratings in test: 2
average ratings per row: 3
rows > break_point1: 0
rows > break_point2: 0
num movs: 2
mean rating: 1343.33
total number of ratings in train: 6
total number of ratings in test: 2
average ratings per row: 1.5
rows > break_point1: 0
rows > break_point2: 0
num users: 4
hostname: johnpc-Lenovo-Z50-70
pid: 17321
num_latent: 16
nprocs: 1
nthrds: 1
nsims: 10000
burnin: 50
grain_size: 1
alpha: 2
0: Burnin iteration 0:	 RMSE: 1397.3840	avg RMSE: 1397.3840	FU(1255.50)	FM(  3.96)	items/sec: 14471.43	ratings/sec:   0.01M
0: Burnin iteration 1:	 RMSE: 1107.7705	avg RMSE: 1107.7705	FU(1347.08)	FM(  9.44)	items/sec: 17722.41	ratings/sec:   0.02M
0: Burnin iteration 2:	 RMSE: 273.4061	avg RMSE: 273.4061	FU(1584.76)	FM( 10.52)	items/sec: 20213.51	ratings/sec:   0.02M
0: Burnin iteration 3:	 RMSE: 166.5678	avg RMSE: 166.5678	FU(1648.73)	FM( 13.66)	items/sec: 21024.08	ratings/sec:   0.02M
0: Burnin iteration 4:	 RMSE: 11.3720	avg RMSE: 11.3720	FU(1665.66)	FM( 10.19)	items/sec: 23258.62	ratings/sec:   0.02M
0: Burnin iteration 5:	 RMSE: 19.9735	avg RMSE: 19.9735	FU(1663.90)	FM( 10.02)	items/sec: 31107.32	ratings/sec:   0.03M
0: Burnin iteration 6:	 RMSE: 22.6285	avg RMSE: 22.6285	FU(1664.15)	FM( 11.21)	items/sec: 32140.26	ratings/sec:   0.03M
0: Burnin iteration 7:	 RMSE: 24.6417	avg RMSE: 24.6417	FU(1660.92)	FM( 12.81)	items/sec: 31068.92	ratings/sec:   0.03M
0: Burnin iteration 8:	 RMSE: 30.4288	avg RMSE: 30.4288	FU(1663.98)	FM( 20.92)	items/sec: 32181.36	ratings/sec:   0.03M
0: Burnin iteration 9:	 RMSE: 5.8779	avg RMSE: 5.8779	FU(1663.49)	FM( 16.98)	items/sec: 30765.07	ratings/sec:   0.03M
0: Burnin iteration 10:	 RMSE: 36.7777	avg RMSE: 36.7777	FU(1662.13)	FM( 16.44)	items/sec: 32099.27	ratings/sec:   0.03M
0: Burnin iteration 11:	 RMSE: 35.3123	avg RMSE: 35.3123	FU(1658.47)	FM( 14.42)	items/sec: 32140.26	ratings/sec:   0.03M
0: Burnin iteration 12:	 RMSE: 34.8393	avg RMSE: 34.8393	FU(1663.09)	FM( 15.34)	items/sec: 31261.89	ratings/sec:   0.03M
0: Burnin iteration 13:	 RMSE: 73.5205	avg RMSE: 73.5205	FU(1636.66)	FM( 11.87)	items/sec: 32017.59	ratings/sec:   0.03M
0: Burnin iteration 14:	 RMSE: 19.2600	avg RMSE: 19.2600	FU(1660.08)	FM( 10.44)	items/sec: 32305.29	ratings/sec:   0.03M
0: Burnin iteration 15:	 RMSE: 6.1507	avg RMSE: 6.1507	FU(1657.13)	FM(  8.02)	items/sec: 30690.03	ratings/sec:   0.03M
0: Burnin iteration 16:	 RMSE: 7.1495	avg RMSE: 7.1495	FU(1663.42)	FM( 11.06)	items/sec: 32305.29	ratings/sec:   0.03M
0: Burnin iteration 17:	 RMSE: 3.8196	avg RMSE: 3.8196	FU(1672.93)	FM( 13.19)	items/sec: 32181.36	ratings/sec:   0.03M
0: Burnin iteration 18:	 RMSE: 3.8440	avg RMSE: 3.8440	FU(1673.68)	FM( 11.24)	items/sec: 31895.85	ratings/sec:   0.03M
0: Burnin iteration 19:	 RMSE: 22.1385	avg RMSE: 22.1385	FU(1691.48)	FM(  8.83)	items/sec: 31107.32	ratings/sec:   0.03M
0: Burnin iteration 20:	 RMSE: 5.6537	avg RMSE: 5.6537	FU(1674.10)	FM(  9.61)	items/sec: 32140.26	ratings/sec:   0.03M
0: Burnin iteration 21:	 RMSE: 7.1177	avg RMSE: 7.1177	FU(1667.35)	FM(  7.83)	items/sec: 32140.26	ratings/sec:   0.03M
0: Burnin iteration 22:	 RMSE: 6.1027	avg RMSE: 6.1027	FU(1669.05)	FM(  9.32)	items/sec: 31030.61	ratings/sec:   0.03M
0: Burnin iteration 23:	 RMSE: 6.0802	avg RMSE: 6.0802	FU(1674.52)	FM(  7.78)	items/sec: 27807.54	ratings/sec:   0.03M
0: Burnin iteration 24:	 RMSE: 4.0297	avg RMSE: 4.0297	FU(1669.22)	FM(  9.45)	items/sec: 28149.69	ratings/sec:   0.03M
0: Burnin iteration 25:	 RMSE: 10.2695	avg RMSE: 10.2695	FU(1666.97)	FM( 14.60)	items/sec: 22878.02	ratings/sec:   0.02M
0: Burnin iteration 26:	 RMSE: 2.3249	avg RMSE: 2.3249	FU(1661.60)	FM( 14.14)	items/sec: 22815.80	ratings/sec:   0.02M
0: Burnin iteration 27:	 RMSE: 7.0067	avg RMSE: 7.0067	FU(1670.16)	FM(  8.74)	items/sec: 22075.28	ratings/sec:   0.02M
0: Burnin iteration 28:	 RMSE: 9.7018	avg RMSE: 9.7018	FU(1695.88)	FM(  6.23)	items/sec: 21601.57	ratings/sec:   0.02M
0: Burnin iteration 29:	 RMSE: 18.9963	avg RMSE: 18.9963	FU(1683.74)	FM(  6.38)	items/sec: 21546.08	ratings/sec:   0.02M
0: Burnin iteration 30:	 RMSE: 6.0126	avg RMSE: 6.0126	FU(1679.68)	FM(  6.44)	items/sec: 21435.97	ratings/sec:   0.02M
0: Burnin iteration 31:	 RMSE: 4.2372	avg RMSE: 4.2372	FU(1682.29)	FM(  6.28)	items/sec: 20393.70	ratings/sec:   0.02M
0: Burnin iteration 32:	 RMSE: 11.4954	avg RMSE: 11.4954	FU(1682.43)	FM(  5.41)	items/sec: 20781.03	ratings/sec:   0.02M
0: Burnin iteration 33:	 RMSE: 5.3621	avg RMSE: 5.3621	FU(1681.94)	FM(  5.02)	items/sec: 24291.34	ratings/sec:   0.02M
0: Burnin iteration 34:	 RMSE: 7.4800	avg RMSE: 7.4800	FU(1681.94)	FM(  9.46)	items/sec: 20262.34	ratings/sec:   0.02M
0: Burnin iteration 35:	 RMSE: 3.9577	avg RMSE: 3.9577	FU(1687.33)	FM(  9.88)	items/sec: 19645.45	ratings/sec:   0.02M
0: Burnin iteration 36:	 RMSE: 8.3304	avg RMSE: 8.3304	FU(1686.14)	FM( 12.18)	items/sec: 20164.92	ratings/sec:   0.02M
0: Burnin iteration 37:	 RMSE: 8.8272	avg RMSE: 8.8272	FU(1685.64)	FM( 10.64)	items/sec: 23786.22	ratings/sec:   0.02M
0: Burnin iteration 38:	 RMSE: 4.8071	avg RMSE: 4.8071	FU(1692.07)	FM( 10.53)	items/sec: 29228.60	ratings/sec:   0.03M
0: Burnin iteration 39:	 RMSE: 8.5407	avg RMSE: 8.5407	FU(1688.41)	FM( 12.67)	items/sec: 28992.88	ratings/sec:   0.03M
0: Burnin iteration 40:	 RMSE: 11.4047	avg RMSE: 11.4047	FU(1692.41)	FM( 11.32)	items/sec: 25317.73	ratings/sec:   0.03M
0: Burnin iteration 41:	 RMSE: 9.7702	avg RMSE: 9.7702	FU(1691.32)	FM(  9.57)	items/sec: 30393.51	ratings/sec:   0.03M
0: Burnin iteration 42:	 RMSE: 10.1654	avg RMSE: 10.1654	FU(1692.01)	FM( 10.31)	items/sec: 46006.99	ratings/sec:   0.05M
0: Burnin iteration 43:	 RMSE: 5.6996	avg RMSE: 5.6996	FU(1693.08)	FM( 12.93)	items/sec: 46431.41	ratings/sec:   0.05M
0: Burnin iteration 44:	 RMSE: 10.6756	avg RMSE: 10.6756	FU(1691.06)	FM( 10.04)	items/sec: 46006.99	ratings/sec:   0.05M
0: Burnin iteration 45:	 RMSE: 24.0896	avg RMSE: 24.0896	FU(1705.07)	FM(  9.12)	items/sec: 44306.03	ratings/sec:   0.04M
0: Burnin iteration 46:	 RMSE: 14.3933	avg RMSE: 14.3933	FU(1703.81)	FM(  9.83)	items/sec: 38956.38	ratings/sec:   0.04M
0: Burnin iteration 47:	 RMSE: 11.4644	avg RMSE: 11.4644	FU(1712.82)	FM(  8.87)	items/sec: 33200.30	ratings/sec:   0.03M
0: Burnin iteration 48:	 RMSE: 3.2380	avg RMSE: 3.2380	FU(1709.50)	FM(  8.40)	items/sec: 47752.99	ratings/sec:   0.05M
0: Burnin iteration 49:	 RMSE: 10.1050	avg RMSE: 10.1050	FU(1711.44)	FM(  7.97)	items/sec: 48676.64	ratings/sec:   0.05M
0: Sampling iteration 50:	 RMSE: 16.8547	avg RMSE: 16.8547	FU(1714.46)	FM(  9.58)	items/sec: 46603.38	ratings/sec:   0.05M
0: Sampling iteration 51:	 RMSE: 17.9017	avg RMSE: 17.9017	FU(1717.22)	FM(  9.21)	items/sec: 46260.71	ratings/sec:   0.05M
0: Sampling iteration 52:	 RMSE: 13.0226	avg RMSE: 14.2535	FU(1714.90)	FM(  6.90)	items/sec: 46863.73	ratings/sec:   0.05M
0: Sampling iteration 53:	 RMSE: 4.2089	avg RMSE: 10.7103	FU(1712.39)	FM(  7.17)	items/sec: 38187.90	ratings/sec:   0.04M
0: Sampling iteration 54:	 RMSE: 11.8337	avg RMSE: 10.0519	FU(1705.07)	FM(  6.61)	items/sec: 49056.19	ratings/sec:   0.05M
0: Sampling iteration 55:	 RMSE: 4.3506	avg RMSE: 8.7438	FU(1704.32)	FM(  7.38)	items/sec: 49056.19	ratings/sec:   0.05M
0: Sampling iteration 56:	 RMSE: 9.5003	avg RMSE: 5.7154	FU(1709.18)	FM(  5.65)	items/sec: 48118.21	ratings/sec:   0.05M
0: Sampling iteration 57:	 RMSE: 2.3582	avg RMSE: 4.9869	FU(1708.44)	FM(  5.21)	items/sec: 49056.19	ratings/sec:   0.05M
0: Sampling iteration 58:	 RMSE: 0.7201	avg RMSE: 4.3811	FU(1704.49)	FM(  5.31)	items/sec: 49056.19	ratings/sec:   0.05M
0: Sampling iteration 59:	 RMSE: 18.4859	avg RMSE: 5.5856	FU(1692.17)	FM(  7.41)	items/sec: 47752.99	ratings/sec:   0.05M
0: Sampling iteration 60:	 RMSE: 11.9725	avg RMSE: 6.2105	FU(1693.26)	FM(  6.25)	items/sec: 48770.98	ratings/sec:   0.05M
0: Sampling iteration 61:	 RMSE: 7.5801	avg RMSE: 6.1254	FU(1701.57)	FM(  8.07)	items/sec: 48026.38	ratings/sec:   0.05M
0: Sampling iteration 62:	 RMSE: 9.5035	avg RMSE: 6.3304	FU(1700.95)	FM(  8.04)	items/sec: 48118.21	ratings/sec:   0.05M
0: Sampling iteration 63:	 RMSE: 5.6675	avg RMSE: 5.4087	FU(1700.53)	FM(  7.46)	items/sec: 38657.18	ratings/sec:   0.04M
0: Sampling iteration 64:	 RMSE: 18.4252	avg RMSE: 6.3156	FU(1710.18)	FM(  7.50)	items/sec: 54003.91	ratings/sec:   0.05M
0: Sampling iteration 65:	 RMSE: 8.7176	avg RMSE: 6.2828	FU(1708.05)	FM(  7.50)	items/sec: 52428.80	ratings/sec:   0.05M
0: Sampling iteration 66:	 RMSE: 8.1906	avg RMSE: 6.4013	FU(1707.64)	FM(  5.20)	items/sec: 42581.77	ratings/sec:   0.04M
0: Sampling iteration 67:	 RMSE: 6.7487	avg RMSE: 6.2565	FU(1706.15)	FM(  6.01)	items/sec: 53430.62	ratings/sec:   0.05M
0: Sampling iteration 68:	 RMSE: 6.5460	avg RMSE: 6.2690	FU(1704.82)	FM(  5.92)	items/sec: 54236.69	ratings/sec:   0.05M
0: Sampling iteration 69:	 RMSE: 7.8697	avg RMSE: 6.0906	FU(1706.33)	FM(  9.17)	items/sec: 54236.69	ratings/sec:   0.05M
